ID,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
50,Multiple Choice,"When an attacker positions themselves between two communicating parties to sniff or modify data, what is this called in MITRE?",Adversary-in-the-Middle (T1557),Valid Accounts,Phishing,Boot or Logon Initialization,A
51,Multiple Choice,What is a common symptom of a Browser Hijacker?,The computer shuts down automatically,The homepage or search engine is changed to a malicious website,Hard drive data is encrypted,Screen resolution decreases,B
52,Multiple Choice,"In MITRE ATT&CK, Initial Access belongs to which category?",Technique,Procedure,Tactic,Mitigation,C
53,Multiple Choice,Which data source is most useful for detecting attackers using Valid Accounts?,Browser settings,Login logs or anomalous IP records,SQL query syntax,Ad-blocking records,B
54,Multiple Choice,What is the best recommendation for preventing Credential Reuse?,Use a VPN,Use a password manager and enable MFA,Install antivirus software,Avoid public Wi-Fi,B
55,Multiple Choice,"During Session Hijacking, what information is typically stolen?",The user's physical hardware,Session Cookie or Session ID,The user's BIOS password,The router's SSID,B
56,Multiple Choice,Exploit Public-Facing Application (T1190) is commonly associated with which attack method?,SQL Injection,Phishing,Fake WAP,Browser Hijacker,A
57,Multiple Choice,What is the primary purpose of the MITRE ATT&CK framework?,Transform unstructured security incidents into structured attack behavior analysis,Used only for data backup,Replace all firewalls,Specifically for software development,A
58,Multiple Choice,Which attack belongs to the category of Social Engineering?,MAC Spoofing,Watering Hole Attack,ARP Spoofing,DoS,B
59,Multiple Choice,Which of the following application security risks occurs when untrusted data is sent to an interpreter as part of a command or query? (OWASP),A6 – security misconfiguration,A3 – Sensitive data exposure,A1 – injection,A4 – XML external entity (XXE),C
60,Multiple Choice,Which of the following security risks can disclose internal files using the file URI handler remote code execution and DoS attacks such as the billion laughs attack?,XML external entity (XXE),Command injection,Broken authentication,Cross-site scripting (XSS),A
61,Multiple Choice,Which of the following practices is NOT a countermeasure to defend against web server attacks?,Physically protect the machine,Install IIS server on a domain controller,Store website files on a separate drive,Screen and filter incoming traffic,B
62,Multiple Choice,In which layer of the vulnerability stack do security professionals configure solutions such as IDS and IPS?,Layer 3,Layer 5,Layer 7,Layer 1,A
63,Multiple Choice,Identify the type of SQL injection technique used by the attacker when they cannot directly exploit any other techniques.,In-band SQL injection,Error-based SQL injection,Blind SQL injection,Out-of-band SQL injection,C
64,Multiple Choice,Which of the following terms is a spread spectrum technique that multiplies the original data signal with a pseudo-random noise-spreading code?,ISM band,BSSID,SSID,DSSS,D
65,Multiple Choice,Identify the IEEE 802.16 standard.,Wi-Fi,WiMax,ZigBee,Bluetooth,B
66,Multiple Choice,In which of the following attacks does an attacker create a soft AP on a laptop to make the laptop’s NIC appear as a legitimate AP?,Ad-hoc connection,Honeypot AP,Unauthorized association,AP MAC spoofing,B
67,Multiple Choice,Identify the protocol that uses AES-GCMP 256 encryption and ECDH/ECDSA key management.,WEP,WPA3,WPA,WPA2,B
68,Multiple Choice,Which mode of operation is responsible for Delivering password-based authentication using the SAE protocol?,WPA3-Personal,WPA3-Enterprise,WPA2-Enterprise,WPA2-Personal,A
69,Multiple Choice,What is the rank of ""Broken Access Control"" in OWASP Top 10 (2021)?,#3,#5,#1,#10,C
70,Multiple Choice,Which vulnerability involves exploiting authentication or session management functions to impersonate users?,Injection,Broken Authentication,XXE,XSS,B
71,Multiple Choice,"""Parameter tampering"" is used to modify application data between which two entities?",Database and Server,Client and Server,Router and AP,OS and Kernel,B
72,Multiple Choice,"According to the sources, why are vulnerable components dangerous?",They have no encryption,They often run with full privileges,They are only found on Windows,They slow down the network,B
73,Multiple Choice,What does ""Insufficient logging and monitoring"" refer to?,Recording too much data,Detection software ignoring important event details,Using weak passwords,Not having a firewall,B
74,Multiple Choice,"Which tool supports the entire web application testing process, from mapping to exploiting vulnerabilities?",Metasploit,Nikto,Burp Suite,Sn1per,C
75,Multiple Choice,Which is a recommended countermeasure for Sensitive Data Exposure?,Generate encryption keys offline,Use weak algorithms for speed,Store session IDs in GET requests,Disable SSL,A
76,Multiple Choice,"To defend against SQL injection, developers should avoid building SQL statements directly from:",Stored procedures,User input,Binary data,Parameters,B
77,Multiple Choice,"In the Ruben scenario, which security misconfiguration was detected?",Improper error handling,Insufficient transport layer protection,Unvalidated inputs,Broken access control,A
78,Multiple Choice,What is the BSSID in wireless terminology?,The name of the network,The MAC address of an Access Point,The frequency band,The connection process,B
79,Multiple Choice,Which spread spectrum method switches a carrier among many frequency channels?,DSSS,OFDM,FHSS,MIMO-OFDM,C
80,Multiple Choice,Which IEEE amendment specifies security mechanisms for 802.11 networks?,802.11i,802.11b,802.16,802.11a,A
81,Multiple Choice,Which encryption algorithm uses a 24-bit Initialization Vector (IV)?,WPA2,AES,WEP,TKIP,C
82,Multiple Choice,What does WPA2 integrate for centralized client authentication?,PSK,EAP or RADIUS,SSID,SAE,B
83,Multiple Choice,Which protocol serves as the replacement for WEP in WPA?,AES,TKIP,CCMP,GCMP,B
84,Multiple Choice,WPA3-Personal uses which protocol for key exchange?,TKIP,MIC,Dragonfly,Kerberos,C
85,Multiple Choice,A ""Soft AP"" attack allows an unauthorized connection to which entity?,The Internet,The Enterprise network,A Bluetooth headset,A specific website,B
86,Multiple Choice,The ""billion laughs attack"" is associated with which vulnerability?,SQLi,XXE,SSRF,XSS,B
87,Multiple Choice,What is the goal of ""BluePrinting"" in Bluetooth attacks?,Crashing the device,Collecting information about manufacturer and firmware,Stealing documents,Modifying data,B
88,Multiple Choice,Which Bluetooth attack involves sending unsolicited messages?,Bluesmacking,Bluejacking,Bluesnarfing,Bluebugging,B
89,Multiple Choice,The theft of information through a Bluetooth connection is called:,Bluejacking,Bluesnarfing,BlueSniff,Bluebugging,B
90,Multiple Choice,Which attack overflows Bluetooth devices with random packets to cause a crash?,Bluesmacking,Bluejacking,Bluebugging,KNOB attack,A
91,Multiple Choice,Which Aircrack-ng tool is used to enable monitor mode on wireless interfaces?,Aircrack-ng,Airmon-ng,Airodump-ng,Aireplay-ng,B
92,Multiple Choice,Which tool is used to decrypt WEP/WPA packets and strip wireless headers?,Airtun-ng,Easside-ng,Airdecap-ng,Airgraph-ng,C
93,Multiple Choice,The KNOB attack exploits a vulnerability in Bluetooth to perform:,Denial of Service,Eavesdropping on shared data,Remote control,MAC spoofing,B
94,Multiple Choice,Which Bluetooth mode rejects every pairing request?,Discoverable,Non-pairable,Pairable,Limited discoverable,B
95,Multiple Choice,What is a best practice for wireless configuration regarding SSID?,Broadcast the SSID,Use SSID hiding (cloaking),Keep the default SSID,Use the SSID as a password,B
96,Multiple Choice,Where should a firewall be placed for wireless security?,Behind the database,Between the AP and the corporate intranet,On the user's laptop,Outside the physical machine room,B
97,Multiple Choice,Which tool is a ""centralized authentication and authorization management system""?,RADIUS,Burp Suite,WiMax,Sn1per,A
98,Multiple Choice,"In the Samson scenario, which vulnerability process was compromised?",SQL query validation,WPA2 four-way handshake,Bluetooth pairing,Error message handling,B
99,Multiple Choice,Which Aircrack-ng tool creates a client-to-AP relationship graph?,Airbase-ng,Airgraph-ng,Airtun-ng,Packetforge-ng,B
100,Multiple Choice,What does ""MIMO-OFDM"" stand for in terms of application?,2G communications,4G and 5G broadband wireless,Wired LAN security,Bluetooth middleware,B
101,Multiple Choice,Which Bluetooth threat involves terrorists sending false bomb threats?,Leakage of calendars,Sending SMS messages,Bugging devices,Causing financial losses,B
102,Multiple Choice,"To prevent web application attacks, non-SSL requests should be:",Dropped,Redirected to the SSL page,Logged but allowed,Handled by Layer 3,B
103,Multiple Choice,Which is NOT an injection type mentioned in the sources?,Command injection,LDAP injection,SQL injection,CSS injection,D
104,Multiple Choice,Which wireless term describes the process of connecting a device to an AP?,Authentication,Association,Modulation,Sniffing,B
105,Multiple Choice,What is the character limit for an SSID?,16,32,64,128,B
106,Multiple Choice,Which vulnerability can lead to remote code execution and DoS via internal files?,A4 – XXE,A1 – Injection,A2 – Broken Authentication,A9 – Vulnerable components,A
107,Multiple Choice,Which tool is used for automated scanning in web security?,Burp Suite,OWASP Zed Attack Proxy,Nikto,Metasploit,C
108,Multiple Choice,"To secure a database, testing teams should avoid constructing dynamic SQL with:",Prepared statements,Concatenated input values,Stored procedures,Multi-layer validation,B
109,Multiple Choice,Which protocol encapsulates EAP within a TLS tunnel?,LEAP,PEAP,WEP,TKIP,B
110,Multiple Choice,WPA3 authentication uses which integrity check mechanism?,BIP-GMAC-256,HMAC-MD5,MIC,SAE,A
111,Multiple Choice,Which attack technique tricks users into connecting to a rogue AP by copying its SSID?,Misconfigured AP,Honeypot AP,Unauthorized association,Bluetooth sniffing,B
112,Multiple Choice,Which wireless tool protects against denial-of-service and man-in-the-middle attacks?,Weevely,Astra,RFProtect,Mole,C
113,Multiple Choice,What should be done with past paired Bluetooth devices?,Keep them for convenience,Regularly check and delete them,Share them with the network,Use them to store keys,B
114,Multiple Choice,"What is the frequency set for international industrial, scientific, and medical communities?",GSM,ISM band,SSID,5G,B
115,Multiple Choice,Which protocol uses CCMP (an AES-based mode) for strong security?,WEP,WPA,WPA2,LEAP,C
116,Multiple Choice,"In wireless security, why should the network be disabled when not required?",To save battery,To defend against potential attacks,To clear the SSID,To reset the RADIUS server,B
117,Multiple Choice,Which attack allows hackers to remotely control a phone to make calls?,Bluebugging,Bluejacking,BluePrinting,Bluesmacking,A
118,Multiple Choice,Which Aircrack-ng tool injects frames into a WPA TKIP network with QoS?,Airtun-ng,Tkiptun-ng,Aireplay-ng,WZCook,B
121,True/False,SQL injection only involves inserting LDAP statements into user forms.,,,,F
122,True/False,"Broken Authentication functions include logout, timeouts, and password management.",,,,T
123,True/False,Insufficient transport layer protection supports weak algorithms and expired certificates.,,,,T
124,True/False,Most web applications run libraries and frameworks with minimum privileges.,,,,F
125,True/False,Attackers often tamper with web application logs to hide their identities.,,,,T
126,True/False,Burp Suite can find and exploit security vulnerabilities in web applications.,,,,T
127,True/False,Session data should be submitted as part of a GET or POST request for security.,,,,F
128,True/False,Setup roles and accounts should include disabling all default accounts.,,,,T
129,True/False,Storing website files on the OS drive is a recommended security countermeasure.,,,,F
130,True/False,DSSS spreads a signal over a wider frequency band to protect against interference.,,,,T
131,True/False,IEEE 802.16 is also known as WiMax.,,,,T
132,True/False,WEP is more secure than WPA2 because it uses a 24-bit IV.,,,,F
133,True/False,AES is a symmetric-key encryption used in WPA2.,,,,T
134,True/False,WPA3 uses GCMP-256 for encryption and HMAC-SHA-384 for authentication.,,,,T
135,True/False,Bluetooth hacking refers to exploiting the physical layer hardware only.,,,,F
136,True/False,Bluesmacking is a DoS attack that overflows devices with random packets.,,,,T
137,True/False,Non-discoverable Bluetooth mode does not mean it is 100% immune to attacks.,,,,T
138,True/False,Bluetooth should be kept in the enabled state at all times for maximum security.,,,,F
139,True/False,SSID broadcasting is considered a misconfiguration that allows SSID theft.,,,,T
140,True/False,Airmon-ng is used to capture WPA/WPA2 handshakes.,,,,T
141,True/False,"Tactic refers to how an attacker carries out a goal, such as Phishing.",,,,F
142,True/False,Fake WAP can be mapped to Network Sniffing (T1040) in MITRE ATT&CK.,,,,T
143,True/False,SQL Injection usually occurs because a system fails to properly validate or filter user input.,,,,T
144,True/False,Credential Reuse is mainly caused by system vulnerabilities and is unrelated to users choosing convenience.,,,,F
145,True/False,MFA (Multi-Factor Authentication) is an effective mitigation against credential theft.,,,,T
146,True/False,Browser Hijackers may enter a system through unsafe browser extensions.,,,,T
147,True/False,An attacker must know the user's password to perform Session Hijacking.,,,,F
148,True/False,Bait and Switch attacks are commonly associated with User Execution (T1204) in MITRE.,,,,T
149,True/False,Using a VPN can help prevent traffic interception on public Wi-Fi networks.,,,,T
150,True/False,Technique refers to the specific real-world operational steps performed by an attacker.,,,,F
151,True/False,HTTPS helps protect data in transit and reduces the risk of Man-in-the-Middle attacks.,,,,T
152,True/False,MITRE ATT&CK only contains attack matrices for Windows systems.,,,,F
153,True/False,Credential Stuffing (T1110.004) refers to using leaked credentials to attempt logins across multiple services.,,,,T
154,True/False,One way to prevent Browser Hijackers is to download browser extensions only from third-party software packages.,,,,F
155,True/False,SQL Injection can be used to bypass login pages and read or delete database records,,,,T
156,True/False,Adversary-in-the-Middle describes an attacker positioning themselves between two communicating parties.,,,,T
157,True/False,Initial Access is the first Tactic used by attackers to enter a network.,,,,T
158,True/False,Airbase-ng is a tool specifically designed to repair SQL databases.,,,,F
159,True/False,Network Sniffing refers to the capture of network traffic to obtain sensitive information.,,,,T
160,True/False,"Understanding an attacker's Tactic (objective) helps analysts connect evidence to appropriate mitigations.",,,,T
161,True/False,100 percent, ironclad security is easily attainable if you have a large budget.,,,,F
162,True/False,You should obtain documented approval and a signature agreeing not to hold you liable for unintentional bad things.,,,,T
163,True/False,Ethical hacking is a one-time event that does not need to be repeated.,,,,F
164,True/False,"Penetration Testing evaluates procedural, operational, and technological controls.",,,,T
165,True/False,Overt Penetration Testing is performed without the knowledge of the IT department.,,,,F
166,True/False,Covert Penetration Testing most closely simulates a true adversarial attack.,,,,T
167,True/False,The purpose of WHOIS is to exploit the target's database directly.,,,,F
168,True/False,Password cracking and network analyzers should generally be removed from the final report to prevent abuse.,,,,T
169,True/False,HIPAA compliance only requires organizations to perform tests once every ten years.,,,,F
170,True/False,Mastery of Linux network interfaces is required before launching many security tools.,,,,T
